compound_inchikey	scaffold_group	development_fold
CVRALZAYCYJELZ-UHFFFAOYSA-N	ring:S=[PH](Oc1ccccc1)c1ccccc1	3
CVSWGLSBJFKWMW-UHFFFAOYSA-N	acyclic_connectivity:CCCCC(=O)OCC=C(C)CCC=C(C)C	0
CVTMENNEXOZZEZ-UHFFFAOYSA-N	ring:c1ccc(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)cc1	4
CVXBEEMKQHEXEN-UHFFFAOYSA-N	ring:c1ccc2ccccc2c1	4
CWIZKMYGNOEFKO-UHFFFAOYSA-N	ring:c1ccc(C2CCc3ccccc32)cc1	3
CWMYRIMGSBQMJG-UHFFFAOYSA-N	acyclic_connectivity:CC#CC#CC#CC=CC=CCCCOC(C)=O	3
CWTQYXSFDFSPQG-UHFFFAOYSA-N	ring:C1CC2COC(O1)O2	1
CXAFPLYCBNPHSG-UHFFFAOYSA-N	ring:O=C(Cc1ccccc1)NC1C(=O)N2CC(=CSc3nnn[nH]3)CSC12	3
CXOFVDLJLONNDW-UHFFFAOYSA-N	ring:O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	4
CXOXHMZGEKVPMT-UHFFFAOYSA-N	ring:O=C1CC(=O)N(c2ccccc2)c2ccccc2N1	3
CXTLZMPDZVHUII-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OCCC3CCCC(OC4CC(OC5CCCOC5)OCC4OC4CCCCO4)O3)O2)OC1	2
CYQFCXCEBYINGO-UHFFFAOYSA-N	ring:C1=CC2c3ccccc3OCC2CC1	0
CYXKNKQEMFBLER-UHFFFAOYSA-N	ring:C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1	0
CZCBTSFUTPZVKJ-UHFFFAOYSA-N	ring:C1CCOCC1	3
CZGFLAQOJPXVRV-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCC1C2CCC2C(OC3CCCCO3)CCC21	2
CZIHNRWJTSTCEX-UHFFFAOYSA-N	ring:c1ccc2c(c1)Cc1ccccc1-2	2
DAEYIVCTQUFNTM-UHFFFAOYSA-N	ring:O=C(NCCc1ccccc1)c1ccc2c(c1)C(=O)OCC2	4
DBBUEAPPMDUEIR-UHFFFAOYSA-N	ring:C1=C2C(=CCC3CCCCC23)C2CCCC2C1	4
DBEPLOCGEIEOCV-UHFFFAOYSA-N	ring:O=C1C=CC2C(CCC3C4CCCC4CCC23)N1	2
DBFXNHHIIKEXPP-UHFFFAOYSA-N	ring:C=C1CC23CC1CCC2C1CCCCC1C3	2
DBGIVFWFUFKIQN-UHFFFAOYSA-N	ring:c1ccccc1	0
DBUNRZUFILGKHP-UHFFFAOYSA-N	ring:O=c1cc(-c2cccc3c2OCC=C3)oc2ccccc12	2
DCJBINATHQHPKO-UHFFFAOYSA-N	acyclic_connectivity:CCCCCC=CCC=CCC(O)C(O)CC=CCCCC(=O)O	3
DCOPUUMXTXDBNB-UHFFFAOYSA-N	ring:c1ccc(Nc2ccccc2)cc1	4
DCSUBABJRXZOMT-UHFFFAOYSA-N	ring:O=C(NC1CCN(CCCOc2ccccc2)CC1)c1ccccc1	0
DDLIGBOFAVUZHB-UHFFFAOYSA-N	ring:c1ccc(C2=NCc3cncn3-c3ccccc32)cc1	0
DDSLGZOYEPKPSJ-UHFFFAOYSA-N	acyclic_connectivity:CC(=O)NCCCC=O	1
DERZBLKQOCDDDZ-UHFFFAOYSA-N	ring:C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1	4
DFWOMDUVXAUTRY-UHFFFAOYSA-N	ring:O=C(OC1CCN(Cc2ccccc2)C1)c1cnccc1-c1ccccc1	4
DGABKXLVXPYZII-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC1C3CCCC3CCC21	2
DGIGXLXLGBAJJN-UHFFFAOYSA-N	ring:O=C1CC2CCCC2C2CC=C3CCCCC3C12	3
DGIOBPYUUNJIKO-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OCCC3CCCC(OC4CCOC(OC5CCCOC5)C4)O3)O2)OC1	2
DGIQURYKMOLFSK-UHFFFAOYSA-N	ring:C=C1C(=O)OCC2C(=C)CC=CC12	4
DGSOBIYFLJXVQZ-UHFFFAOYSA-N	ring:C1CCC(OCC2CCCC(OC3CCC4C(CCC5C6CCCC6CCC45)C3)O2)OC1	0
DHBXNPKRAUYBTH-UHFFFAOYSA-N	acyclic_connectivity:CC(S)S	1
DHTHKPNODOWMKF-UHFFFAOYSA-N	ring:c1ccc(C2Oc3ccccc3C2c2cccc3c2C(c2ccccc2)C(c2ccccc2)O3)cc1	2
DILDHNKDVHLEQB-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCC1C2CCC2CCCC21	3
DIUFDFNALWNSNW-UHFFFAOYSA-N	ring:O=C(CCCC1CCCCO1)CC1CCCC2(C=CCC3(CCC(C4CCCCO4)O3)O2)O1	2
DIUOJMLXZJHNDR-UHFFFAOYSA-N	ring:c1ccc2[nH]c([SH+]Cc3cc(OCC4CC4)ccn3)nc2c1	0
DJTOLSNIKJIDFF-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC1C3CCCC3CCC21	2
DMEPDNFRHUGNPT-UHFFFAOYSA-N	ring:c1ccc(CC2CCCCC2)cc1	3
DMIWIJAIZZONNT-UHFFFAOYSA-N	ring:c1ccc2c(c1)nc1cc3cc[nH]cc3cc12	1
DMVOXQPQNTYEKQ-UHFFFAOYSA-N	ring:c1ccc(-c2ccccc2)cc1	1
DNBPMBJFRRVTSJ-UHFFFAOYSA-N	ring:c1ccc2[nH]ccc2c1	4
DNIAPMSPPWPWGF-UHFFFAOYSA-N	acyclic_connectivity:CC(O)CO	0
DNXHEGUUPJUMQT-UHFFFAOYSA-N	ring:O=C1CCC2C1CCC1c3ccccc3CCC12	3
DNZQDZDGNZZGCU-UHFFFAOYSA-N	ring:O=C(C=Cc1ccccc1)OC1CCCC(OC(=O)C=Cc2ccccc2)C1	1
DNZRKQBGTHPGSL-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCC=CC=CCC=O	1
DOFZAZXDOSGAJZ-UHFFFAOYSA-N	acyclic_connectivity:CCOP(=S)(OCC)SCCSCC	4
DOMXUEMWDBAQBQ-UHFFFAOYSA-N	ring:c1ccc2ccccc2c1	4
DPAIILRRFFJOHL-UHFFFAOYSA-N	ring:c1cc(CCCCCCCCCCCCCCC2CCCO2)co1	1
DPIAJERHFDBLPT-UHFFFAOYSA-N	ring:O=c1c(-c2ccccc2)coc2ccccc12	4
DPMKYRJUMRDZSZ-UHFFFAOYSA-N	ring:O=C1CC2(CO1)C1CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C1CCC2C1OC1CCOC1CCCCO1	1
DPQYOKVMVCQHMY-UHFFFAOYSA-N	ring:C1CCC2CCCCC2C1	4
DQDAYGNAKTZFIW-UHFFFAOYSA-N	ring:O=c1oc2ccccc2cc1Cc1ccccc1	3
DQHWEKFXUGLNRV-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCC1C2CCC2CCCC21	3
DQJGLVYHIANDHO-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OCCC3CCCC(OC4CC(OC5CCCOC5)OCC4OC4CCCCO4)O3)O2)OC1	2
DQJZOUNZNYHEBV-UHFFFAOYSA-N	ring:c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1	3
DRHKJLXJIQTDTD-UHFFFAOYSA-N	ring:c1ccc(CCNCCOc2ccccc2)cc1	0
DRLFMBDRBRZALE-UHFFFAOYSA-N	ring:c1ccc2[nH]ccc2c1	4
DRRWBCNQOKKKOL-UHFFFAOYSA-N	ring:O=c1cc(-c2ccccc2)oc2ccccc12	1
DRSJLVGDSNWQBI-UHFFFAOYSA-N	ring:O=C(NCCc1ccc(-c2ccccc2)cc1)c1ccccc1	2
DSPNGJHSAHRHHA-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OC3CC(OC4CCCOC4)OCC3OC3CC(OC4CCCCO4)CCO3)O2)OC1	4
DSTJGYCTYZXZNH-UHFFFAOYSA-N	ring:C=C1C(=O)OC2CC3CC(=O)CCC3=CC12	2
DTGDZMYNKLTSKC-UHFFFAOYSA-N	ring:C1=C2CCCCC2C2CCC3CCCC3C2C1	4
DTGKSKDOIYIVQL-UHFFFAOYSA-N	ring:C1CC2CCC1C2	1
DTJQBBHYRQYDEG-UHFFFAOYSA-N	ring:c1ccc2c3c([nH]c2c1)C1CC2CCC1N(CC3)C2	1
DTOPKPBTCXKNFF-UHFFFAOYSA-N	ring:c1ccc(-c2cccs2)cc1	3
DTUGXZBPWDHASD-UHFFFAOYSA-N	ring:C1CCOC1	1
DTYGTEGDVPAKDA-UHFFFAOYSA-N	ring:c1ccccc1	0
DUEPRVBVGDRKAG-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCO2	3
DUGHQFVNXIWPEA-UHFFFAOYSA-N	ring:O=c1cc[nH]c(=O)[nH]1	0
DUPDJVDPPBFBPL-UHFFFAOYSA-N	ring:C=C1C=CCCC12CCCO2	3
DVCCCQNKIYNAKB-UHFFFAOYSA-N	ring:c1cnc2c(ccc3[nH]cnc32)n1	0
DVGIHSLYADPMSE-UHFFFAOYSA-N	ring:c1ccc2c(c1)Nc1ccccc1S2	1
DVSZTYJRXBBIFA-UHFFFAOYSA-N	ring:O=C1C=CCCCC(=O)CCCC=CC=CC=CCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(CCC2CCCCC2)C1	0
DVXXYXKKUSGEIB-UHFFFAOYSA-N	ring:O=C1CCC2C3=C(CCC2C1)C1C(=O)CC2(CCCO2)C1CC3	4
DVYFKACEOUKQAL-UHFFFAOYSA-N	ring:C1CCC(OC2CCOC(OC3CCC(OC4CCOC(OC5CCC(OC6CCOCC6)OC5)C4)OC3)C2)OC1	3
DWHSGRLKLUGKOU-UHFFFAOYSA-N	ring:C1=NCCc2ccccc21	2
DWMIJMCXKMVIAF-UHFFFAOYSA-N	ring:C=C1CC2CC=CC2C2CC=C3CC(=O)CCC3C12	3
DWNBPRRXEVJMPO-UHFFFAOYSA-N	ring:C1CO1	1
DWPLEOPKBWNPQV-UHFFFAOYSA-N	ring:c1ccccc1	0
DWSFAVOTORHAAL-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0
DXCPWGZDEYFQEA-UHFFFAOYSA-N	ring:C1CCC(OCC2CCCC(OCC3CCC4C3CCC3C5CCC(OC6OCCCC6OC6CCCCO6)CC5CCC43)O2)OC1	1
DYDUXGMDSXJQFT-UHFFFAOYSA-N	ring:c1ccccc1	0
DYIOQMKBBPSAFY-UHFFFAOYSA-N	acyclic_connectivity:CCCCC=CCCCCCCCC(=O)OCCCCCCCCCCCCCCCC	4
DYJBTUINEBYYQT-UHFFFAOYSA-N	ring:O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5CC(OC6CCCCO6)CCO5)CC4CCC3C1CC2	3
DYOSCPIQEYRQEO-UHFFFAOYSA-N	ring:c1ccccc1	0
DYUQAZSOFZSPHD-UHFFFAOYSA-N	ring:c1ccccc1	0
DYXPIXIKDXPQPD-UHFFFAOYSA-N	ring:O=S(=O)(NC1CC2CCC1C2)c1ccccc1	2
DZGWFCGJZKJUFP-UHFFFAOYSA-N	ring:c1ccccc1	0
DZHDVYLBNKMLMB-UHFFFAOYSA-N	ring:c1ccc2[nH]ccc2c1	4
DZJZIJZUKAATIV-UHFFFAOYSA-N	acyclic_connectivity:CCCC#CCCCCCCCCCCCCO	1
DZKOKXZNCDGVRY-UHFFFAOYSA-N	ring:C1SSCSSS1	0
FAEKWTJYAYMJKF-UHFFFAOYSA-N	ring:O=C(Cc1ccccc1)NCc1ccccc1N1CCCCC1	4
FBYFJOVKHROJSY-UHFFFAOYSA-N	ring:c1ccc2[nH]ccc2c1	4
FCHGRGOUMXZTFS-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC13CCC(CCC21)C3	3
FCINNGNGQHGDFW-UHFFFAOYSA-N	ring:c1ccc(C2Cc3ccccc3O2)cc1	0
FCLYKYQBTSMTJB-UHFFFAOYSA-N	ring:C=C1CC(=C)C(=O)O1	0
FCWMZGOTKKOFPK-UHFFFAOYSA-N	ring:O=C(c1ccccc1)c1ccsc1	3
FCWVNQXHWQOIRY-UHFFFAOYSA-N	acyclic_connectivity:CC(=O)C(NC(=O)CN)C(O)O	3
FDASUPFDHLZNSK-UHFFFAOYSA-N	ring:C(CCC1CC2C(CC3C2CCC2C4CCC(OC5OCCCC5OC5CCCCO5)CC4CCC23)O1)COC1CCCCO1	2
FDKXTQMXEQVLRF-UHFFFAOYSA-N	ring:c1c[nH]cn1	2
FELGMEQIXOGIFQ-UHFFFAOYSA-N	ring:O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1	4
FFEARJCKVFRZRR-UHFFFAOYSA-N	acyclic_connectivity:CSCCC(N)C(=O)O	2
FFGPTBGBLSHEPO-UHFFFAOYSA-N	ring:C1=Cc2ccccc2Nc2ccccc21	2
FFIYZQBJBRTFKR-UHFFFAOYSA-N	ring:O=c1[nH]c(=O)c2[nH]cnc2[nH]1	2
FGXWKSZFVQUSTL-UHFFFAOYSA-N	ring:O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1	1
FHFYDNQZQSQIAI-UHFFFAOYSA-N	ring:O=c1cc[nH]c2cc(N3CCNCC3)ccc12	1
FHIVAFMUCKRCQO-UHFFFAOYSA-N	ring:c1cncnc1	2
FHPIXVHJEIZKJW-UHFFFAOYSA-N	ring:c1ccc2c(c1)N=C(N1CCNCC1)c1ccsc1N2	2
FJLGEFLZQAZZCD-UHFFFAOYSA-N	ring:c1ccc(-c2c[nH]c3ccccc23)cc1	2
FJLHLDBEZKTSOK-UHFFFAOYSA-N	acyclic_connectivity:CCN(C)C=O	1
FKJUAGXPCITGLZ-UHFFFAOYSA-N	acyclic_connectivity:CCCCCC(=O)OCC[N+](C)(C)C	1
FLAQQSHRLBFIEZ-UHFFFAOYSA-N	ring:c1ccncc1	2
FLDPBMANMDLQTH-UHFFFAOYSA-N	ring:O=c1[nH]cc(Cc2ccc(OCCNc3ccccn3)cc2)s1	1
FMGSKLZLMKYGDP-UHFFFAOYSA-N	ring:O=C1CCC2C1CCC1C3CCCCC3=CCC21	3
FMKCDSXOYLTWBR-UHFFFAOYSA-N	ring:C1CCOC1	1
FMMWHPNWAFZXNH-UHFFFAOYSA-N	ring:c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	4
FMWLUWPQPKEARP-UHFFFAOYSA-N	acyclic_connectivity:ClC(Cl)Br	4
FMXVFWDIAZJILA-UHFFFAOYSA-N	ring:O=C1CCCO1	1
FNEJQOIAGPBETK-UHFFFAOYSA-N	ring:c1ccoc1	3
FNELVJVBIYMIMC-UHFFFAOYSA-N	ring:c1ccc(-n2cccn2)cc1	1
FNFHDAUGLIPVPU-UHFFFAOYSA-O	ring:c1ccc(-c2[o+]c3ccccc3cc2OC2CCCCO2)cc1	1
FNKQXYHWGSIFBK-UHFFFAOYSA-N	ring:O=c1nc[nH]c2c1NCCN2	4
FNPHNLNTJNMAEE-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	4
FNTJVYCFNVUBOL-UHFFFAOYSA-N	ring:O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12	3
FNYLWPVRPXGIIP-UHFFFAOYSA-N	ring:c1ccc(-c2cnc3ncncc3n2)cc1	4
FOHHNHSLJDZUGQ-UHFFFAOYSA-N	ring:c1ccc2c(c1)ccc1ccccc12	0
FPIPGXGPPPQFEQ-UHFFFAOYSA-N	ring:C1=CCCCC1	3
FPLMIPQZHHQWHN-UHFFFAOYSA-N	ring:O=c1cc(-c2ccccc2)oc2ccccc12	1
FQPGMQABJNQLLF-UHFFFAOYSA-N	acyclic_connectivity:NOCCC(N)C(=O)O	0
FQYGGFDZJFIDPU-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCC1C2CCC2CC(OC3CCCCO3)CC21	3
FQZSMTSTFMNWQF-UHFFFAOYSA-N	ring:c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3ccnc3)cc2)c1	0
FRNIMDDQCZHAFA-UHFFFAOYSA-N	ring:C=C1C(=O)OC2CC3CCCCC3=CC12	3
FRYVQXCDSBCDAU-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC1C3CCCC3CCC21	2
FSHPJPOJLGCQOJ-UHFFFAOYSA-N	ring:O=C1c2ccccc2OCC1c1ccccc1	3
FSHURBQASBLAPO-UHFFFAOYSA-N	acyclic_connectivity:CSCCC(NC(=O)C(C)N)C(=O)O	3
FSKFPVLPFLJRQB-UHFFFAOYSA-N	ring:O=C(CCN1CCCCC1)c1ccccc1	3
FSKJPXSYWQUVGO-UHFFFAOYSA-N	ring:O=C(C=Cc1ccccc1)Nc1ccccc1	3
FSLPMRQHCOLESF-UHFFFAOYSA-N	ring:C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1	4
FSPRLRPJSPWQNC-UHFFFAOYSA-N	ring:O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	4
FSQFBVMRHUNWAT-UHFFFAOYSA-N	ring:O=C1C2=C(OCC=C2)C2CCCC1C2=O	3
FSVMLWOLZHGCQX-UHFFFAOYSA-N	ring:c1ccc(C2CCc3ccccc3O2)cc1	0
FTALBRSUTCGOEG-UHFFFAOYSA-N	ring:c1ccc2scnc2c1	0
FTVWIRXFELQLPI-UHFFFAOYSA-N	ring:O=C1CC(c2ccccc2)Oc2ccccc21	1
FUCYIEXQVQJBKY-UHFFFAOYSA-N	ring:C1=CC2CCCC=C2CC1	3
FUDSDSSVYNVBQF-UHFFFAOYSA-N	ring:C=c1c(=O)ccc2cc3c(=O)cccc3oc12	0
FUGYGGDSWSUORM-UHFFFAOYSA-N	ring:c1ccccc1	0
FURUXTVZLHCCNA-UHFFFAOYSA-N	ring:O=C1CC(c2ccccc2)Oc2ccccc21	1
FVCDMHWSPLRYAB-UHFFFAOYSA-N	ring:C1CO1	1
FVGJPCFYGPKBKJ-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCOC(=O)CC	2
FVIKBDRIIKLJKM-UHFFFAOYSA-N	ring:C(Cc1ccncc1)=NCCc1ccccc1	3
FVJJFMIANVFLIU-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OCCC3CCCC(OC4CC(OC5CCCOC5)OCC4OC4CC(OC5CCCCO5)CCO4)O3)O2)OC1	3
FVNFXIPJDHVJGE-UHFFFAOYSA-N	ring:O=C(CCc1ccccc1)c1ccccc1	2
FWBPZAVSTQBRKT-UHFFFAOYSA-N	ring:O=c1c2ccccc2oc2ccccc12	1
FWCGLHYHGUHPRY-UHFFFAOYSA-N	ring:O=C1CCCCC1	1
FWKXMJCJEOUXDE-UHFFFAOYSA-N	ring:c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	4
FWVIPKAFIXXKIW-UHFFFAOYSA-N	acyclic_connectivity:CC(=CCO)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCCC(C)CCCC(C)CCCC(C)C	0
FXKSIMKLXMWGEF-UHFFFAOYSA-N	ring:c1ccc2c(c1)Sc1ccccc1N2CC12CCN(CC1)CC2	3
FYGDTMLNYKFZSV-UHFFFAOYSA-N	ring:C1CCC(OC2CCC(OC3CCCOC3)OC2)OC1	2
FYNCKDXBHPKIBS-UHFFFAOYSA-N	ring:C=C1CCC2CC(=O)CC=C2C1	0
FYYSIASRLDJUNP-UHFFFAOYSA-N	acyclic_connectivity:NC(CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)O	4
FZERHIULMFGESH-UHFFFAOYSA-N	ring:c1ccccc1	0
FZLJBZZCTNZGFA-UHFFFAOYSA-N	ring:C1CCC(OC2CCC(OC3CCCOC3)OC2)OC1	2
FZPKQSWYXWHIQL-UHFFFAOYSA-N	ring:c1cc(CCCCCCCCCCC2CCCC(C3CCCO3)O2)co1	4
FZXAQGVGSAANBR-UHFFFAOYSA-N	ring:O=C1CSC(c2cccnc2)N1	2
FZXISNSWEXTPMF-UHFFFAOYSA-N	ring:c1ncncn1	1
GBLRQXKSCRCLBZ-UHFFFAOYSA-N	ring:O=C(CCC(=O)OCCC[NH+]1CCc2ccccc2C1Cc1ccccc1)OCCC[NH+]1CCc2ccccc2C1Cc1ccccc1	1
GCDSSEZWYHWNMC-UHFFFAOYSA-N	ring:O=C1OC2=C3CCCCC13c1ccccc1C2	2
GCIKSSRWRFVXBI-UHFFFAOYSA-N	ring:O=C(Nc1ccc(Sc2nc(Nc3ccn[nH]3)cc(N3CCNCC3)n2)cc1)C1CC1	4
GCZRCCHPLVMMJE-UHFFFAOYSA-N	acyclic_connectivity:CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O)O	3
GDBJCCBRRCYCEG-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCC#CCCCC(=O)O	1
GDLIGKIOYRNHDA-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCc1ccccc1N2	3
GEAIQETWXSVTMO-UHFFFAOYSA-N	acyclic_connectivity:NC(CSC(Cl)=C(Cl)C(Cl)=C(Cl)Cl)C(=O)O	4
GEDRGVNPMIOGRX-UHFFFAOYSA-N	acyclic_connectivity:C=CCC(C)C(=O)OCCCCCC	2
GELFSVXLSDZDHE-UHFFFAOYSA-N	ring:C1CO1	1
GEPUWRLCEOWUON-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OCCC3CCCC(OC4CC(OC5CCCOC5)OCC4OC4CC(OC5CC(OC6CCCCO6)CCO5)CCO4)O3)O2)OC1	2
GFPJSSAOISEBQL-UHFFFAOYSA-N	ring:C(C=CC=CC=CC=CC1C=C2CCCCC2O1)=CC=CC=CC=CC1=CCCCC1	3
GGAFPIBJPYCFGR-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
GGCLNOIGPMGLDB-UHFFFAOYSA-N	ring:O=C1CCC2C(=CCC3C4CCCC4CCC23)C1	4
GGCUJPCCTQNTJF-UHFFFAOYSA-N	ring:O=C1C=CCCC1	4
GHCVBVCIPFPICQ-UHFFFAOYSA-N	ring:O=C1CC2CCC(C(=O)OC3CCOCC3)=CCCC=CC2O1	3
GIIZNNXWQWCKIB-UHFFFAOYSA-N	ring:c1ccc(CCCCOCCCCCCNCCc2ccccc2)cc1	4
GIQXKAXWRLHLDD-UHFFFAOYSA-N	ring:C1CCC(OC2CCC3C(CCC4C5CCCC5CCC34)C2)OC1	3
GJFCONYVAUNLKB-UHFFFAOYSA-N	ring:O=C1C=CC2C(=CCC3C4CCCC4CCC23)C1	4
GJMPSRSMBJLKKB-UHFFFAOYSA-N	ring:c1ccccc1	0
GJPICJJJRGTNOD-UHFFFAOYSA-N	ring:O=S(=O)(Nc1nc(-c2ncccn2)ncc1Oc1ccccc1)c1ccccc1	4
GJQIMXVRFNLMTB-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCOC(C)=O	3
GJSLOMWRLALDCT-UHFFFAOYSA-N	ring:c1ccc(C2=NCc3nncn3-c3ccccc32)cc1	4
GJZJZRWFRZFTEE-UHFFFAOYSA-N	ring:C1CCC(OC2CCCC2)OC1	1
GKCJNDMDSMOLIN-UHFFFAOYSA-N	ring:O=C1COC2CC13CCCC3C1(COC1=O)C2	1
GKGKOBNJESCNOE-UHFFFAOYSA-N	ring:C1CCC2(CC3C(CC4C3CCC3C5CCCCC5CC34)O2)OC1	3
GKJMLOMZBLJNRX-UHFFFAOYSA-N	ring:C1=C2C3CCCC3CCC2C2CCC(OC3OCCCC3OC3OCCCC3OC3CCCCO3)CC2C1	3
GKNDIYRVXVKUNM-UHFFFAOYSA-N	ring:O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)n2cccc2)cc1	4
GKTWGGQPFAXNFI-UHFFFAOYSA-N	ring:c1ccc(CN2CCc3sccc3C2)cc1	2
GKWPCEFFIHSJOE-UHFFFAOYSA-N	ring:O=C(Nc1ccccc1)c1cc2ccccc2[nH]c1=O	2
GLBJJMFZWDBELO-UHFFFAOYSA-N	ring:O=C1CCC(c2ccc3[nH]c(-c4ccccc4)nc3c2)=NN1	0
GLYPHOJMMLQNJQ-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC1C3CCCC3CCC21	2
GMBQZIIUCVWOCD-UHFFFAOYSA-N	ring:C1CCC2(CC3C(CC4C3CCC3C5CCCCC5CCC34)O2)OC1	2
GMCGZPQYTRHQRU-UHFFFAOYSA-N	ring:C1=C2CC(OC3OCCC(OC4CCCCO4)C3OC3CCCCO3)CCC2C2CCC3C4CC(CCCCOC5CCCCO5)OC4CC3C2C1	1
GMHKMTDVRCWUDX-UHFFFAOYSA-N	ring:O=C1NC(=O)C(c2ccccc2)N1	4
GMROZDPZEUVIGD-UHFFFAOYSA-N	ring:C=c1ccc(=Cc2c[nH]c3ccccc23)[nH]1	3
GNKXHPULSPWUAK-UHFFFAOYSA-N	ring:c1ccncc1	2
GNOIPBMMFNIUFM-UHFFFAOYSA-N	acyclic_connectivity:CN(C)P(=O)(N(C)C)N(C)C	0
GNXVPSYTTPBCTM-UHFFFAOYSA-N	ring:O=C1CCCC(OC2CCC(OC3CCCCO3)CO2)CCCCC=CC=CCCO1	3
GOHBXWHNJHENRX-UHFFFAOYSA-N	ring:c1ccc2c(c1)ccc1c3ccccc3ccc21	4
GPKJTRJOBQGKQK-UHFFFAOYSA-N	ring:c1ccc2nc3ccccc3cc2c1	0
GPQVVJQEBXAKBJ-UHFFFAOYSA-N	ring:C1CO1	1
GQNZGCARKRHPOH-UHFFFAOYSA-N	ring:O=C1CCCC(OC2CCC(OC3CCCCO3)CO2)CCCCC=CC=CCCO1	3
GRKWIGXXRSEQLZ-UHFFFAOYSA-N	ring:O=C1CCC2C(=CCC3C4CCCC4CCC23)C1	4
GRPDKIJVLYPUGU-UHFFFAOYSA-N	ring:O=C1CCC(CCCCCCCCCCCC2CCCO2)O1	1
GRYMYKQGSSTJBA-UHFFFAOYSA-N	ring:c1ccc(C2CC(Cc3ccc4c(c3)OCO4)CO2)cc1	1
GSIREHLZHMQJNR-UHFFFAOYSA-N	ring:O=C(C=Cc1ccccc1)OCC1COC(OC2CCCOC2Oc2ccc(C3CC(=O)c4ccccc4O3)cc2)C1	0
GUGOEEXESWIERI-UHFFFAOYSA-N	ring:c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1	2
GUGSXATYPSGVAY-UHFFFAOYSA-N	ring:C1=C2CCCCC2C2CCC3CCCC3C2C1	4
GVQOVMKBYJKZSY-UHFFFAOYSA-N	ring:O=c1c2ccccc2oc2ccccc12	1
GWFGPUOJJHYUTD-UHFFFAOYSA-N	ring:c1ccc2ccccc2c1	4
GWKLHNVFRBYLTN-UHFFFAOYSA-N	ring:O=C1C=CC2C(CCC3C4CCCC4CCC23)N1	2
GWMGUFTYUOYYQV-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
GWNHAOBXDGOXRR-UHFFFAOYSA-N	ring:O=P1(COCCn2cnc3cncnc32)OCCC(c2ccccc2)O1	0
GWONURZMUVCQJN-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCCCCC(=O)CC(O)CCCCC	1
GWYOVZVXBRVBBE-UHFFFAOYSA-N	ring:C1CS1	3
GXBYFVGCMPJVJX-UHFFFAOYSA-N	ring:C1CO1	1
